timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1528165829970,25,getHdStations,200,,Stations 1-1,text,true,,212394,133,1,1,23,0,4
1528165829995,2,createStation,200,,Stations 1-1,text,true,,214,276,1,1,2,0,0
1528165829997,1,getStationByID,200,,Stations 1-1,text,true,,270,162,1,1,1,0,0
1528165829998,13,getStationByName,200,,Stations 1-1,text,true,,212395,179,1,1,9,0,0
1528165830011,2,updateStation,200,,Stations 1-1,text,true,,270,303,1,1,2,0,0
1528165830013,11,getHdStations,200,,Stations 1-1,text,true,,212500,133,1,1,7,0,0
1528165830024,1,createStation,200,,Stations 1-1,text,true,,214,276,1,1,1,0,0
1528165830025,1,getStationByID,200,,Stations 1-1,text,true,,270,162,1,1,1,0,0
1528165830026,8,getStationByName,200,,Stations 1-1,text,true,,212501,179,1,1,6,0,0
1528165830035,1,updateStation,200,,Stations 1-1,text,true,,270,303,1,1,1,0,0
1528165830036,9,getHdStations,200,,Stations 1-1,text,true,,212606,133,1,1,6,0,0
1528165830046,1,createStation,200,,Stations 1-1,text,true,,214,276,1,1,1,0,0
1528165830047,1,getStationByID,200,,Stations 1-1,text,true,,270,162,1,1,1,0,0
1528165830048,9,getStationByName,200,,Stations 1-1,text,true,,212607,179,2,2,6,0,0
1528165830057,1,updateStation,200,,Stations 1-1,text,true,,270,303,2,2,1,0,0
1528165830050,10,getHdStations,200,,Stations 1-2,text,true,,212712,133,2,2,8,0,0
1528165830061,1,createStation,200,,Stations 1-2,text,true,,214,276,2,2,1,0,0
1528165830062,1,getStationByID,200,,Stations 1-2,text,true,,270,162,2,2,1,0,0
1528165830058,9,getHdStations,200,,Stations 1-1,text,true,,212712,133,2,2,7,0,0
1528165830068,1,createStation,200,,Stations 1-1,text,true,,214,276,2,2,1,0,0
1528165830069,1,getStationByID,200,,Stations 1-1,text,true,,270,162,2,2,1,0,0
1528165830063,10,getStationByName,200,,Stations 1-2,text,true,,212713,179,2,2,7,0,0
1528165830073,1,updateStation,200,,Stations 1-2,text,true,,270,303,2,2,1,0,0
1528165830070,10,getStationByName,200,,Stations 1-1,text,true,,212819,179,2,2,8,0,0
1528165830080,2,updateStation,200,,Stations 1-1,text,true,,270,303,2,2,2,0,0
1528165830075,9,getHdStations,200,,Stations 1-2,text,true,,212924,133,2,2,7,0,0
1528165830085,1,createStation,200,,Stations 1-2,text,true,,214,276,2,2,1,0,0
1528165830086,1,getStationByID,200,,Stations 1-2,text,true,,270,162,2,2,1,0,0
1528165830082,9,getHdStations,200,,Stations 1-1,text,true,,212924,133,2,2,7,0,0
1528165830092,1,createStation,200,,Stations 1-1,text,true,,214,276,2,2,1,0,0
1528165830093,1,getStationByID,200,,Stations 1-1,text,true,,270,162,2,2,1,0,0
1528165830087,9,getStationByName,200,,Stations 1-2,text,true,,212925,179,2,2,6,0,0
1528165830096,1,updateStation,200,,Stations 1-2,text,true,,270,303,2,2,1,0,0
1528165830094,10,getStationByName,200,,Stations 1-1,text,true,,213031,179,2,2,7,0,0
1528165830104,1,updateStation,200,,Stations 1-1,text,true,,270,303,2,2,1,0,0
1528165830097,11,getHdStations,200,,Stations 1-2,text,true,,213136,133,2,2,8,0,0
1528165830108,2,createStation,200,,Stations 1-2,text,true,,214,276,2,2,2,0,0
1528165830110,0,getStationByID,200,,Stations 1-2,text,true,,270,162,2,2,0,0,0
1528165830105,9,getHdStations,200,,Stations 1-1,text,true,,213136,133,2,2,7,0,0
1528165830115,1,createStation,200,,Stations 1-1,text,true,,214,276,2,2,1,0,0
1528165830116,1,getStationByID,200,,Stations 1-1,text,true,,270,162,2,2,1,0,0
1528165830111,8,getStationByName,200,,Stations 1-2,text,true,,213137,179,2,2,5,0,0
1528165830119,1,updateStation,200,,Stations 1-2,text,true,,270,303,2,2,1,0,0
1528165830117,8,getStationByName,200,,Stations 1-1,text,true,,213243,179,2,2,6,0,0
1528165830125,2,updateStation,200,,Stations 1-1,text,true,,270,303,2,2,1,0,0
1528165830120,12,getHdStations,200,,Stations 1-2,text,true,,213348,133,2,2,9,0,0
1528165830132,1,createStation,200,,Stations 1-2,text,true,,214,276,2,2,1,0,0
1528165830133,1,getStationByID,200,,Stations 1-2,text,true,,270,162,2,2,1,0,0
1528165830127,9,getHdStations,200,,Stations 1-1,text,true,,213348,133,2,2,6,0,0
1528165830136,2,createStation,200,,Stations 1-1,text,true,,214,276,2,2,2,0,0
1528165830138,1,getStationByID,200,,Stations 1-1,text,true,,270,162,2,2,1,0,0
1528165830134,9,getStationByName,200,,Stations 1-2,text,true,,213349,179,2,2,7,0,0
1528165830143,1,updateStation,200,,Stations 1-2,text,true,,270,303,2,2,1,0,0
1528165830139,8,getStationByName,200,,Stations 1-1,text,true,,213461,179,2,2,5,0,0
1528165830147,1,updateStation,200,,Stations 1-1,text,true,,270,303,2,2,1,0,0
1528165830145,12,getHdStations,200,,Stations 1-2,text,true,,213566,133,3,3,9,0,0
1528165830149,9,getHdStations,200,,Stations 1-1,text,true,,213566,133,3,3,6,0,0
1528165830158,1,createStation,200,,Stations 1-2,text,true,,214,276,3,3,1,0,0
1528165830158,1,createStation,200,,Stations 1-1,text,true,,214,276,3,3,1,0,0
1528165830159,1,getStationByID,200,,Stations 1-2,text,true,,270,162,3,3,1,0,0
1528165830159,1,getStationByID,200,,Stations 1-1,text,true,,270,162,3,3,1,0,0
1528165830150,12,getHdStations,200,,Stations 1-3,text,true,,213566,133,3,3,9,0,0
1528165830162,1,createStation,200,,Stations 1-3,text,true,,214,276,3,3,1,0,0
1528165830164,0,getStationByID,200,,Stations 1-3,text,true,,270,162,3,3,0,0,0
1528165830160,10,getStationByName,200,,Stations 1-2,text,true,,213674,179,3,3,7,0,0
1528165830160,11,getStationByName,200,,Stations 1-1,text,true,,213674,179,3,3,8,0,0
1528165830171,1,updateStation,200,,Stations 1-2,text,true,,270,303,3,3,1,0,0
1528165830171,1,updateStation,200,,Stations 1-1,text,true,,270,303,3,3,1,0,0
1528165830164,11,getStationByName,200,,Stations 1-3,text,true,,213780,179,3,3,9,0,0
1528165830175,2,updateStation,200,,Stations 1-3,text,true,,270,303,3,3,1,0,0
1528165830172,11,getHdStations,200,,Stations 1-1,text,true,,213885,133,3,3,8,0,0
1528165830172,12,getHdStations,200,,Stations 1-2,text,true,,213885,133,3,3,9,0,0
1528165830183,2,createStation,200,,Stations 1-1,text,true,,214,276,3,3,2,0,0
1528165830184,2,createStation,200,,Stations 1-2,text,true,,214,276,3,3,2,0,0
1528165830185,1,getStationByID,200,,Stations 1-1,text,true,,270,162,3,3,1,0,0
1528165830177,9,getHdStations,200,,Stations 1-3,text,true,,213885,133,3,3,6,0,0
1528165830187,1,createStation,200,,Stations 1-3,text,true,,214,276,3,3,1,0,0
1528165830186,2,getStationByID,200,,Stations 1-2,text,true,,270,162,3,3,2,0,0
1528165830188,2,getStationByID,200,,Stations 1-3,text,true,,270,162,3,3,2,0,0
1528165830186,9,getStationByName,200,,Stations 1-1,text,true,,213992,179,3,3,6,0,0
1528165830195,2,updateStation,200,,Stations 1-1,text,true,,270,303,3,3,2,0,0
1528165830188,10,getStationByName,200,,Stations 1-2,text,true,,214098,179,3,3,7,0,0
1528165830190,9,getStationByName,200,,Stations 1-3,text,true,,214098,179,3,3,6,0,0
1528165830198,3,updateStation,200,,Stations 1-2,text,true,,270,303,3,3,3,0,0
1528165830199,3,updateStation,200,,Stations 1-3,text,true,,270,303,3,3,3,0,0
1528165830197,13,getHdStations,200,,Stations 1-1,text,true,,214203,133,3,3,10,0,0
1528165830210,2,createStation,200,,Stations 1-1,text,true,,214,276,3,3,2,0,0
1528165830202,10,getHdStations,200,,Stations 1-3,text,true,,214203,133,3,3,7,0,0
1528165830212,1,getStationByID,200,,Stations 1-1,text,true,,270,162,3,3,1,0,0
1528165830201,12,getHdStations,200,,Stations 1-2,text,true,,214203,133,3,3,9,0,0
1528165830213,2,createStation,200,,Stations 1-2,text,true,,214,276,3,3,2,0,0
1528165830213,2,createStation,200,,Stations 1-3,text,true,,214,276,3,3,2,0,0
1528165830215,1,getStationByID,200,,Stations 1-3,text,true,,270,162,3,3,1,0,0
1528165830215,1,getStationByID,200,,Stations 1-2,text,true,,270,162,3,3,1,0,0
